,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
895,no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,male : single,none,2,"car or other, not in attribute Savings account/bonds",31,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
896,... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,4,male : single,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
897,no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,no,good
898,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 <= ... < 7 years,1,male : single,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,good
899,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute Savings account/bonds",42,none,own,1,skilled employee / official,1,none,yes,bad
900,... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,... >= 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
901,no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,... < 1 year,2,male : single,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,good
902,no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,good
903,no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,real estate,40,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
904,no checking account,24,existing credits paid back duly till now,radio/television,1278,... < 100 DM,... >= 7 years,4,male : single,none,1,real estate,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
905,... < 0 DM,12,existing credits paid back duly till now,radio/television,1107,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,20,none,rent,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,good
906,... < 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 <= ... < 7 years,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no,good
907,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute Savings account/bonds",27,none,own,1,skilled employee / official,1,none,yes,good
908,no checking account,15,delay in paying off in the past,car (used),3594,... < 100 DM,... < 1 year,1,male : married/widowed,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,none,yes,good
909,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 <= ... < 4 years,1,male : married/widowed,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,good
910,no checking account,36,delay in paying off in the past,radio/television,4454,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes,good
911,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,... < 100 DM,... < 1 year,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",25,bank,own,1,unskilled - resident,1,none,yes,bad
912,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,... >= 7 years,2,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",25,none,own,1,skilled employee / official,1,none,yes,good
913,no checking account,11,existing credits paid back duly till now,business,2142,... >= 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
914,... < 0 DM,24,all credits at this bank paid back duly,business,3161,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
915,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/ life insurance,32,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,bad
916,no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : married/widowed,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,good
917,... < 0 DM,6,existing credits paid back duly till now,car (new),14896,... < 100 DM,... >= 7 years,1,male : married/widowed,none,4,unknown / no property,68,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
918,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,male : married/widowed,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes,bad
919,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,... < 100 DM,... >= 7 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,bad
920,no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,1817,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,unknown / no property,28,none,own,2,skilled employee / official,1,none,yes,good
921,no checking account,48,delay in paying off in the past,radio/television,12749,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,good
922,... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,... < 100 DM,... < 1 year,3,male : married/widowed,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,bad
923,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,... < 100 DM,4 <= ... < 7 years,3,male : married/widowed,none,4,building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,good
924,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/ life insurance,55,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
925,... < 0 DM,12,all credits at this bank paid back duly,car (new),697,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",46,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,bad
926,... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,good
927,... < 0 DM,48,existing credits paid back duly till now,car (used),10297,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,unknown / no property,39,stores,for free,3,skilled employee / official,2,"yes, registered under the customers name",yes,bad
928,no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,... >= 7 years,4,male : married/widowed,none,4,"car or other, not in attribute Savings account/bonds",58,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,good
929,... < 0 DM,12,delay in paying off in the past,car (new),1344,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,43,none,own,2,unskilled - resident,2,none,yes,good
930,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,... < 100 DM,... < 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,no,good
931,0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,1670,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,bad
932,no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,1,real estate,30,none,own,2,skilled employee / official,1,none,yes,good
933,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 <= ... < 1000 DM,... >= 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,good
934,... < 0 DM,12,existing credits paid back duly till now,radio/television,1498,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,1,"car or other, not in attribute Savings account/bonds",23,bank,own,1,skilled employee / official,1,none,yes,good
